gene,assigned_count,unassigned_count,total_qv_gene_count,unassigned_fraction
CCND1,2725339,703247,3428586,0.20511283660377777
NHERF1,1936095,548394,2484489,0.22072707908950293
XBP1,1190370,297758,1488128,0.20008897084121796
OR4F17,2046458,266079,2312537,0.11505934823961736
TBC1D9,1180759,262493,1443252,0.18187606876692358
GNAS,645711,244109,889820,0.2743352588163898
DSP,823025,227650,1050675,0.21667023580079472
TFF1,806795,223433,1030228,0.21687723494216815
GNS,877075,219589,1096664,0.2002336175893437
MYH9,493292,196002,689294,0.28435181504553936
PTMA,471483,189890,661373,0.28711483535009746
ANXA5,535424,188275,723699,0.2601565015289506
MDM2,764805,178705,943510,0.18940445782238663
STARD10,704455,177743,882198,0.2014774461062029
NPM1,435541,176649,612190,0.2885525735474281
GATA3,808018,176476,984494,0.17925553634659022
RASSF3,724079,171812,895891,0.19177779439686302
B2M,444871,167278,612149,0.273263535511779
CLTC,601524,166623,768147,0.21691551226523048
TMSB4X,303453,160781,464234,0.3463361149764989
PRPF19,668103,159541,827644,0.19276524689359192
STC2,765112,156501,921613,0.16981205777262257
CXCL12,138679,149425,288104,0.5186495154527532
FOXA1,568219,148561,716780,0.2072616423449315
SMIM14,496328,146601,642929,0.2280205123738391
ELAPOR1,756196,142104,898300,0.15819214071023044
PLAT,689329,141278,830607,0.1700900666620917
FTH1,319416,136127,455543,0.29882360172365724
RAB7A,368776,133342,502118,0.26555909168761127
MARCKS,305442,129135,434577,0.29715102271864363
MAGED2,459510,126640,586150,0.21605391111490233
PRKAR1A,370996,125685,496681,0.253049744202013
TFF3,503755,121339,625094,0.19411320537391177
MLPH,567891,115562,683453,0.16908551136654607
HNRNPF,410013,114191,524204,0.21783694897406353
UFC1,376078,114186,490264,0.23290716838274889
FRS2,396661,113239,509900,0.22208080015689352
EID1,290989,112954,403943,0.2796285614554529
DAP,326050,111558,437608,0.2549267837882306
SPTAN1,368957,110025,478982,0.2297059179676898
CCT2,387174,107108,494282,0.21669411388640492
ANXA2,315148,105731,420879,0.2512147196700239
ECE1,520011,105380,625391,0.1685025847829598
SPTBN1,265402,104197,369599,0.2819190528112901
TNFSF10,482942,101300,584242,0.17338705536404436
APP,305856,100648,406504,0.24759411961505914
ZNF91,327737,99675,427412,0.2332058996939721
SRP9,314374,99420,413794,0.24026447942696125
TPT1,164070,99084,263154,0.37652477256663397
CSDE1,240220,96461,336681,0.28650562401798735
HIPK3,208457,96105,304562,0.31555151332076886
UGDH,374450,95033,469483,0.20242053492884726
CDH1,444560,92953,537513,0.17293163142100748
IL6ST,285781,92909,378690,0.24534315667168397
MED13,337690,92268,429958,0.21459770489210575
CMPK1,267061,92208,359269,0.2566544845227392
EIF4G2,290829,90931,381760,0.23818891450125734
GRB2,303402,90594,393996,0.22993634453141656
PREX1,354807,89982,444789,0.202302664859068
CERS2,409436,89974,499410,0.18016058949560482
BRMS1,343343,89099,432442,0.2060368789340536
IRF2BP2,292339,88627,380966,0.2326375582072941
SELENOF,265728,88169,353897,0.24913746089964028
CIRBP,330015,87857,417872,0.2102485928705441
ELP2,438980,87701,526681,0.16651635430175002
COL3A1,97926,87095,185021,0.47073034952789145
PKM,310287,86782,397069,0.2185564725526294
ACTN4,274265,86171,360436,0.2390743432953423
SCARB2,310597,86120,396717,0.21708169803663568
VAV3,391605,85959,477564,0.17999472322034324
PSAP,240075,85571,325646,0.2627730726003083
AGR3,426749,84845,511594,0.16584440005160342
CDKN1B,315300,84341,399641,0.2110419101143276
ARF1,276777,84321,361098,0.2335127860026918
AEBP1,106380,83064,189444,0.43846202571736237
DYNLL2,234015,80960,314975,0.25703627272005714
CD59,231329,80566,311895,0.2583112906587153
MBD2,253643,80566,334209,0.24106472297275058
LUM,81968,80004,161972,0.4939372237176796
ITGB5,245485,79905,325390,0.24556685823166047
COL6A2,110071,79348,189419,0.41890201088591955
SLC39A6,336009,78988,414997,0.19033390602823635
PEA15,199848,78799,278647,0.2827914888730185
VIM,80316,78410,158726,0.49399594269369856
DHCR24,339985,77917,417902,0.1864480189135252
PMP22,264963,77524,342487,0.2263560368714725
BHLHE40,274515,77498,352013,0.220156641942201
SCUBE2,424070,77086,501156,0.15381637653744543
MAPKAPK2,262833,76982,339815,0.22654091196680548
CCN2,136392,76855,213247,0.360403663357515
IST1,673434,75423,748857,0.10071749346003309
DAZAP2,184662,74256,258918,0.28679350218988253
TOB1,315410,74177,389587,0.19039906362378622
COL6A1,130631,74150,204781,0.36209413959302866
RAB1B,248792,73996,322788,0.22924024437091836
SYAP1,266490,73635,340125,0.21649393605292172
JUN,178911,73530,252441,0.2912759813184071
P4HB,226812,73496,300308,0.2447354049842162
GNA13,281038,73130,354168,0.2064839285310926
HNRNPA2B1,303238,72846,376084,0.19369608917156805
RAB21,227434,72679,300113,0.24217211516995266
NHERF2,256347,72114,328461,0.2195511795920977
ATP6V1G1,273703,71519,345222,0.20716814108023243
AP2M1,208133,70825,278958,0.253891266785681
NAP1L1,207210,69857,277067,0.25213035114250343
FLNB,357647,69659,427306,0.16301900745601514
PARK7,213447,69549,282996,0.24575965738031633
UBE2D3,253639,69458,323097,0.21497568841555323
