,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
11q13 Invasive Tumor Cells,0.0,62.157167077056705,58.11130658765166,668.3040345100502,127.61706783009252,40.881274065314514,106.50166040098347,84.69417784626373,77.01265425266018,86.68394009495321,72.63509408557704,1603.6623579797167,98.53873223190747,250.76855351718532,166.63143813895152,90.77081111675513,69.06895745295199,225.01553484800698,113.91120157183627
11q13 Invasive Tumor Cells (G1/S),11.478385793122046,0.0,35.34353646420674,669.2721005335919,112.651512559783,38.30555956533597,106.13402343012373,61.84550093837893,68.99313328886659,70.70419090592391,60.15895645185914,1692.6335097248616,85.13453105277759,231.72411348503266,176.69473871503726,74.02554298975555,57.859783122836866,195.5946194322709,93.07823610649729
11q13 Invasive Tumor Cells (Mitotic),21.605055717567048,56.107116602566705,0.0,669.6298126575969,108.16730947746399,40.884094710544275,95.65830302493251,66.75782264345419,69.09075804565683,72.93677823626122,57.38925073423992,1678.3075738832856,83.77759396643421,228.3353055223369,173.01429056858746,70.0878327523241,55.4108895886797,191.76840248954494,90.92528696223218
Apocrine Cells,108.17650189463258,889.4606293542113,648.1463968640459,0.0,70.3255799633678,15.764605843896355,28.21404095160913,746.8931192457053,51.815468753419196,44.406145801847444,49.97892614383208,247.6244431203534,54.335800387524245,197.6508385532383,342.20912958553276,13.686346797553446,46.138329480018974,55.42776494888806,46.15840220595158
B Cells,138.86859851291837,225.0523248353226,154.98441689838825,597.7111798500727,0.0,105.95120332936916,32.64373992862868,130.8980394894293,48.81964326811746,48.97863036938118,35.887341696907114,1323.3325776346537,42.780894087990504,168.6127111762934,160.5079510644009,107.12390760308001,39.2180686264529,111.77245382682,32.58810120111743
Basal-like Structured DCIS Cells,49.67712132100342,174.4331715710965,117.1284531098357,553.1293563602575,107.5853752486612,0.0,92.00401548882864,162.07382168769365,65.77401724253268,67.00236652581212,61.78877216266206,1340.0488965217883,84.29851883411624,228.44987944102257,181.12417899167943,54.85431088628364,60.831353134664994,184.86511267548377,93.4661567103219
"CAFs, DCIS Associated",269.0728426927421,465.11283438206067,270.8476434845387,547.1476385778682,96.77900404420949,183.5766946657125,0.0,302.75663868549196,52.440833422079,110.87855107253203,47.74534121794279,702.8239687992362,60.07538260588149,195.19326647171206,196.79871708606265,146.31586003755658,48.43443014282372,149.5432252251414,70.67913024688809
"CAFs, Invasive Associated",34.718948155069,77.70106259850685,66.78849060771729,633.874532523291,71.77888528587265,43.70001016831041,68.55542493136466,0.0,49.432766244872894,45.29419559665314,30.99095899398073,1649.5396291723919,51.692219509051945,199.00346659258759,164.49699460765555,60.90670564092893,35.244618437996394,150.49207152415437,54.06156862705364
CXCL14+ Fibroblasts,167.6363097977471,322.5217379634925,185.41396824349405,586.690571959563,98.53668424407442,130.361155927456,35.56091505626586,201.11154511067068,0.0,97.27046190402466,47.431666677425554,1029.6941808493602,63.37357619412183,206.6634925096051,171.0873024818012,111.78322338829575,43.4513669061255,169.12524910327204,78.79501946251118
Dendritic Cells,95.66336590716818,162.25131315923372,122.75429834918943,618.9527904731452,59.431603557462076,82.77116028913234,59.30158602494023,90.53746200913932,56.7997079802779,0.0,40.910541185864204,1459.7454376869857,47.664150300549466,189.20051222955243,162.6971020608964,93.0798398144513,45.09460152631551,129.52794846751388,42.1267142026279
Endothelial Cells,177.1350386583483,311.2387440463208,194.4950687643704,632.9218412761743,89.34368302841037,140.21213298613702,36.999583932851905,180.31097917804104,54.06754324668912,85.72637858906471,0.0,1086.2813701137768,56.784745443198055,204.5488619571653,171.74456620241133,127.94453098570959,25.422682299041462,158.99862835061796,64.61762280614055
Luminal-like Amorphous DCIS Cells,275.19261730199247,591.1149579297626,154.34254060616578,552.9215743340872,123.3265451118945,177.89732864123022,43.22833495048089,262.0146123016325,59.62318707865865,98.68592190471306,50.38682321044978,0.0,88.39098615051539,186.30362658042637,160.58141286976098,36.90427920302777,50.41491375847394,142.97943493607576,114.20127421112518
Macrophages,179.5506944911307,287.4204141793998,208.03563762279364,651.727427044445,82.06254291054556,153.35805450266736,30.3853451336715,169.94390284690388,54.888717601126665,77.08245779934302,43.01744347857115,1232.2516791197397,0.0,199.15662191865997,182.67805527207173,153.5851439335537,45.18763580801037,157.99633745392373,56.847890035673025
Mast Cells,208.6717673221815,357.494452561324,198.68372392066178,573.0003973201809,78.96627613665788,138.67900920926527,27.441080623203018,223.58935950561238,50.59426655124579,78.2653327356241,39.55942604704063,969.8833881073465,49.71598635607543,0.0,176.1138397622112,115.72277994817496,41.208971504811814,129.01611200690908,50.88476906639065
