,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
11q13 Invasive Tumor Cells,0.0,0.08593262080219016,0.08593262080219016,1.0,0.2774286509196883,0.2774286509196883,0.5065644198784697,0.1171263389735887,0.5065644198784697,0.2774286509196883,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.2774286509196883
11q13 Invasive Tumor Cells (G1/S),0.08593262080219016,0.0,0.049567243487621745,1.0,0.2774286509196883,0.2774286509196883,0.5065644198784697,0.1171263389735887,0.5065644198784697,0.2774286509196883,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.2774286509196883
11q13 Invasive Tumor Cells (Mitotic),0.08593262080219016,0.049567243487621745,0.0,1.0,0.2774286509196883,0.2774286509196883,0.5065644198784697,0.1171263389735887,0.5065644198784697,0.2774286509196883,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.2774286509196883
Apocrine Cells,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7195713951851975,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B Cells,0.2774286509196883,0.2774286509196883,0.2774286509196883,1.0,0.0,0.17503074693346848,0.5065644198784697,0.2774286509196883,0.5065644198784697,0.11269645739958835,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.07841555000181083
Basal-like Structured DCIS Cells,0.2774286509196883,0.2774286509196883,0.2774286509196883,1.0,0.17503074693346848,0.0,0.5065644198784697,0.2774286509196883,0.5065644198784697,0.17503074693346848,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.17503074693346848
"CAFs, DCIS Associated",0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.0,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.36442255013104824,1.0,0.36442255013104824,0.36442255013104824,0.36442255013104824,0.2319768875257546,0.36442255013104824,0.16209061733541155,0.5065644198784697
"CAFs, Invasive Associated",0.1171263389735887,0.1171263389735887,0.1171263389735887,1.0,0.2774286509196883,0.2774286509196883,0.5065644198784697,0.0,0.5065644198784697,0.2774286509196883,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.2774286509196883
CXCL14+ Fibroblasts,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.0,0.5065644198784697,0.07395694454269591,1.0,0.15302623512501864,0.20670182519590338,0.17292048823226236,0.36442255013104824,0.07395694454269591,0.36442255013104824,0.5065644198784697
Dendritic Cells,0.2774286509196883,0.2774286509196883,0.2774286509196883,1.0,0.11269645739958835,0.17503074693346848,0.5065644198784697,0.2774286509196883,0.5065644198784697,0.0,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.11269645739958835
Endothelial Cells,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.07395694454269591,0.5065644198784697,0.0,1.0,0.15302623512501864,0.20670182519590338,0.17292048823226236,0.36442255013104824,0.06147899737581862,0.36442255013104824,0.5065644198784697
Luminal-like Amorphous DCIS Cells,1.0,1.0,1.0,0.7195713951851975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Macrophages,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.15302623512501864,0.5065644198784697,0.15302623512501864,1.0,0.0,0.20670182519590338,0.17292048823226236,0.36442255013104824,0.15302623512501864,0.36442255013104824,0.5065644198784697
Mast Cells,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.20670182519590338,0.5065644198784697,0.20670182519590338,1.0,0.20670182519590338,0.0,0.20670182519590338,0.36442255013104824,0.20670182519590338,0.36442255013104824,0.5065644198784697
Myeloid Cells,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.17292048823226236,0.5065644198784697,0.17292048823226236,1.0,0.17292048823226236,0.20670182519590338,0.0,0.36442255013104824,0.17292048823226236,0.36442255013104824,0.5065644198784697
Myoepithelial Cells,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.2319768875257546,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.36442255013104824,1.0,0.36442255013104824,0.36442255013104824,0.36442255013104824,0.0,0.36442255013104824,0.2319768875257546,0.5065644198784697
Pericytes,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.07395694454269591,0.5065644198784697,0.06147899737581862,1.0,0.15302623512501864,0.20670182519590338,0.17292048823226236,0.36442255013104824,0.0,0.36442255013104824,0.5065644198784697
Plasma Cells,0.5065644198784697,0.5065644198784697,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.16209061733541155,0.5065644198784697,0.36442255013104824,0.5065644198784697,0.36442255013104824,1.0,0.36442255013104824,0.36442255013104824,0.36442255013104824,0.2319768875257546,0.36442255013104824,0.0,0.5065644198784697
T Lymphocytes,0.2774286509196883,0.2774286509196883,0.2774286509196883,1.0,0.07841555000181083,0.17503074693346848,0.5065644198784697,0.2774286509196883,0.5065644198784697,0.11269645739958835,0.5065644198784697,1.0,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.5065644198784697,0.0
