,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
ABHD2,0.2794298602469507,0.2794298602469507,0.2794298602469507,1.0,0.1790590287832922,0.10726109849241293,0.4888413368386518,0.2794298602469507,0.4888413368386518,0.1790590287832922,0.4888413368386518,1.0,0.4888413368386518,0.4888413368386518,0.4888413368386518,0.4888413368386518,0.4888413368386518,0.4888413368386518,0.1790590287832922
ACADSB,0.26919977294613057,0.26919977294613057,0.26919977294613057,1.0,0.1712665491342497,0.10135846403847826,0.49186771187686584,0.26919977294613057,0.49186771187686584,0.1712665491342497,0.49186771187686584,1.0,0.49186771187686584,0.49186771187686584,0.49186771187686584,0.49186771187686584,0.49186771187686584,0.49186771187686584,0.1712665491342497
ACBD3,0.4911939614309894,0.4911939614309894,0.4911939614309894,1.0,0.4911939614309894,0.4911939614309894,0.37292555145291545,0.4911939614309894,0.12432364641171648,0.4911939614309894,0.12432364641171648,1.0,0.15466985673087494,0.21206134219812264,0.17155563889452918,0.37292555145291545,0.12432364641171648,0.37292555145291545,0.4911939614309894
ACTG1,0.48774983673148875,0.48774983673148875,0.48774983673148875,1.0,0.48774983673148875,0.48774983673148875,0.3753583733480162,0.48774983673148875,0.13163745009235808,0.48774983673148875,0.13163745009235808,1.0,0.14839126276272274,0.21305141719426568,0.17362562390070396,0.3753583733480162,0.13163745009235808,0.3753583733480162,0.48774983673148875
ACTN4,0.4902236636721441,0.4902236636721441,0.4902236636721441,1.0,0.4902236636721441,0.4902236636721441,0.3733232285501002,0.4902236636721441,0.11683411755127492,0.4902236636721441,0.11683411755127492,1.0,0.15000822849258375,0.21152151671991093,0.17134396756565695,0.3733232285501002,0.11683411755127492,0.3733232285501002,0.4902236636721441
ADAM15,0.2761450865754065,0.2761450865754065,0.2761450865754065,1.0,0.1651924556808477,0.11113021663183027,0.48850689565565214,0.2761450865754065,0.48850689565565214,0.1651924556808477,0.48850689565565214,1.0,0.48850689565565214,0.48850689565565214,0.48850689565565214,0.48850689565565214,0.48850689565565214,0.48850689565565214,0.1651924556808477
ADAR,0.38588398580427785,0.38588398580427785,0.38588398580427785,1.0,0.16137194173435893,0.12196696466419639,0.6218739099094053,0.38588398580427785,0.25753590190767733,0.16137194173435893,0.25753590190767733,0.6218739099094053,0.25753590190767733,0.25753590190767733,0.25753590190767733,0.6218739099094053,0.25753590190767733,0.6218739099094053,0.16137194173435893
ADCY1,0.2662289850839956,0.2662289850839956,0.2662289850839956,1.0,0.17299354532350705,0.10694331245817323,0.49324739930160005,0.2662289850839956,0.49324739930160005,0.17299354532350705,0.49324739930160005,1.0,0.49324739930160005,0.49324739930160005,0.49324739930160005,0.49324739930160005,0.49324739930160005,0.49324739930160005,0.17299354532350705
ADD3,0.5106644434328913,0.5106644434328913,0.5106644434328913,1.0,0.5106644434328913,0.5106644434328913,0.3540462469349549,0.5106644434328913,0.1033701427086998,0.5106644434328913,0.1033701427086998,1.0,0.18247065413750344,0.200875434717591,0.16827401347516657,0.3540462469349549,0.1033701427086998,0.3540462469349549,0.5106644434328913
ADIPOR1,0.38373796251363357,0.38373796251363357,0.38373796251363357,1.0,0.16072389505306303,0.10725011983033132,0.6227022091749835,0.38373796251363357,0.2614377101581096,0.16072389505306303,0.2614377101581096,0.6227022091749835,0.2614377101581096,0.2614377101581096,0.2614377101581096,0.6227022091749835,0.2614377101581096,0.6227022091749835,0.16072389505306303
