gene,marker_group,unassigned_count,assigned_count,unassigned_fraction,urna_best_cluster,urna_best_sss,urna_best_module,full_best_cluster,full_best_sss,best_cluster_match,sss_spearman_vs_full,urna_module_mean_Tumor,urna_module_mean_Vascular/Stromal,urna_module_mean_Immune,urna_module_mean_Rare epithelial
NHERF1,,548394,1936095,0.2207270790895029,CXCL14+ Fibroblasts,0.1516090587734937,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1155807929611427,False,0.22606269092359826,0.4906949695686872,0.24114330141522378,0.3424688094628197,0.8302316565228957
XBP1,,297758,1190370,0.2000889708412179,Basal-like Structured DCIS Cells,0.13079600879575354,Immune,Basal-like Structured DCIS Cells,0.0948100268866114,True,0.6490406876192876,0.38810831774730536,0.4031401924869284,0.27532836674889033,0.5839906581149571
OR4F17,,266079,2046458,0.1150593482396173,Macrophages,0.10455214509233675,Vascular/Stromal,Macrophages,0.1253007638227076,True,0.9999999999999999,0.4870645912768671,0.2346344097427125,0.33197812278876554,0.8290215304256224
TBC1D9,,262493,1180759,0.1818760687669235,Basal-like Structured DCIS Cells,0.10865406771528786,Tumor,Basal-like Structured DCIS Cells,0.1131023987645931,True,1.0,0.27955758912941236,0.48826229007905014,0.3545083269884994,0.7028846892384294
GNAS,,244109,645711,0.2743352588163898,Basal-like Structured DCIS Cells,0.13026974686404963,Immune,Basal-like Structured DCIS Cells,0.0938647603384986,True,0.6490406876192876,0.38756466222063474,0.40196198082738893,0.2702737300895167,0.5838440502431367
DSP,,227650,823025,0.2166702358007947,Basal-like Structured DCIS Cells,0.1157172937492607,Immune,Basal-like Structured DCIS Cells,0.0944465519243381,True,0.6490406876192876,0.38546871860665627,0.4049698484896712,0.2726435538490733,0.5792583683152107
TFF1,,223433,806795,0.2168772349421681,Basal-like Structured DCIS Cells,0.10912134432741047,Tumor,Basal-like Structured DCIS Cells,0.1190060896480268,True,1.0,0.2744959517936208,0.49035502092518557,0.3547688378644131,0.7030404481091369
GNS,,219589,877075,0.2002336175893437,CXCL14+ Fibroblasts,0.1655896043044294,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1076314700219397,False,-0.282546184601846,0.48785938521588085,0.2505511870220086,0.3429935448639246,0.829286461738627
MYH9,,196002,493292,0.2843518150455393,CXCL14+ Fibroblasts,0.11446597550758934,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1181721787789686,False,0.22606269092359826,0.488620711507153,0.2182648690140066,0.33830308192432784,0.8295402371690509
PTMA,,189890,471483,0.2871148353500974,Basal-like Structured DCIS Cells,0.10315658875312864,Immune,Basal-like Structured DCIS Cells,0.0970974141028807,True,0.6490406876192876,0.38275829535990735,0.40601246787736517,0.2654952834447994,0.575413346324163
ANXA5,,188275,535424,0.2601565015289506,Macrophages,0.14186619060117958,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0972989506184069,False,-0.282546184601846,0.48396456003568616,0.25436186392068,0.3376330383937015,0.827988186678562
MDM2,,178705,764805,0.1894044578223866,CXCL14+ Fibroblasts,0.15919316065193886,Vascular/Stromal,Basal-like Structured DCIS Cells,0.118653859015878,False,0.22671323238623875,0.48863192941444616,0.24643707376684917,0.3419493349253301,0.829543976471482
STARD10,,177743,704455,0.2014774461062029,Basal-like Structured DCIS Cells,0.12724524917906066,Immune,Basal-like Structured DCIS Cells,0.1032978864199513,True,0.6490406876192876,0.3863595282771881,0.4047663772952956,0.27533813994888384,0.5830082317032247
NPM1,,176649,435541,0.2885525735474281,CXCL14+ Fibroblasts,0.09465542310228477,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1396973630258653,False,0.22606269092359826,0.4952338828690977,0.20417119800045316,0.3409862500256878,0.8317446276230326
GATA3,,176476,808018,0.1792555363465902,Basal-like Structured DCIS Cells,0.1273188649820572,Immune,Basal-like Structured DCIS Cells,0.1029095812524292,True,0.6490406876192876,0.386611220443434,0.4046261049972683,0.27509802692626983,0.5829916685101184
RASSF3,,171812,724079,0.191777794396863,Basal-like Structured DCIS Cells,0.11158747741755375,Tumor,Basal-like Structured DCIS Cells,0.1434650328802384,True,1.0,0.2615918010296782,0.49431820913956803,0.3553666820917324,0.7038624924725179
B2M,,167278,444871,0.273263535511779,B Cells,0.10409634179159888,Immune,Basal-like Structured DCIS Cells,0.0933998554752439,False,0.6366449716751436,0.3845046195234967,0.4037761616257021,0.24598612097005354,0.5915163258085433
CLTC,,166623,601524,0.2169155122652304,Basal-like Structured DCIS Cells,0.14660943915517807,Immune,Basal-like Structured DCIS Cells,0.101140324211652,True,0.6490406876192876,0.38970320187014945,0.4010768761388651,0.27446898472948433,0.5890201636671933
TMSB4X,,160781,303453,0.3463361149764989,Macrophages,0.10940376780198295,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1293278136132467,False,0.22606269092359826,0.4872132418047976,0.2334153149959585,0.33315149279273154,0.8290710806015992
PRPF19,,159541,668103,0.1927652468935919,Basal-like Structured DCIS Cells,0.14946087760664584,Tumor,11q13 Invasive Tumor Cells,0.051398157994377,False,0.8653760231111451,0.25021257919260526,0.49889380522240606,0.3628887381098322,0.7164869592022153
STC2,,156501,765112,0.1698120577726225,CXCL14+ Fibroblasts,0.12965226151105652,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1578572241823685,False,0.22606269092359826,0.5031874204770793,0.22371748022170354,0.34719774107358903,0.8343958068256931
CXCL12,,149425,138679,0.5186495154527532,Mast Cells,0.17746804705021454,Vascular/Stromal,"CAFs, DCIS Associated",0.1598608962662095,False,0.8854344800401239,0.516993566724376,0.26187719860425973,0.3549026411133605,0.838997855574792
SMIM14,,146601,496328,0.2280205123738391,Basal-like Structured DCIS Cells,0.13121803355951742,Immune,Basal-like Structured DCIS Cells,0.0977597928210364,True,0.6490406876192876,0.38768118221555925,0.40352434416419136,0.27563033761241107,0.5841874196237488
ELAPOR1,,142104,756196,0.1581921407102304,Basal-like Structured DCIS Cells,0.11177002248061785,Tumor,Basal-like Structured DCIS Cells,0.1416545616285207,True,1.0,0.26406312600041476,0.49427835059942027,0.3584492529113293,0.7039233408268726
PLAT,,141278,689329,0.1700900666620917,Basal-like Structured DCIS Cells,0.11308054641794348,Tumor,11q13 Invasive Tumor Cells,0.1496586705839084,False,0.8692653731488574,0.2637557635381815,0.493499244942028,0.3551044908571205,0.7043601821393145
FTH1,,136127,319416,0.2988236017236572,Basal-like Structured DCIS Cells,0.10272656989277074,Tumor,Basal-like Structured DCIS Cells,0.0949827775049829,True,1.0,0.27968900599505786,0.4869380136273895,0.34769088361609296,0.7009088566309236
RAB7A,,133342,368776,0.2655590916876112,Macrophages,0.1266214621077786,Immune,Basal-like Structured DCIS Cells,0.0989869621009506,False,0.15835612442790561,0.38759187120049365,0.3474786764652763,0.27006874344492404,0.6261562442434885
MARCKS,,129135,305442,0.2971510227186436,Macrophages,0.09099549886464953,Immune,Basal-like Structured DCIS Cells,0.0926954693142736,False,0.1579260028790722,0.38911489786266923,0.33603747267430945,0.2641279587474475,0.6257489184950834
MAGED2,,126640,459510,0.2160539111149023,CXCL14+ Fibroblasts,0.11603857356593138,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1593401205825632,False,0.22606269092359826,0.5000845842501417,0.2161973951188926,0.3448259030095744,0.8333615280833806
PRKAR1A,,125685,370996,0.253049744202013,Macrophages,0.12598356586359988,Immune,Basal-like Structured DCIS Cells,0.0912052667952091,False,0.1579260028790722,0.389503328083931,0.3372928881159959,0.27022666727949346,0.6264975360852898
TFF3,,121339,503755,0.1941132053739117,Basal-like Structured DCIS Cells,0.11639903355123869,Tumor,Basal-like Structured DCIS Cells,0.136773587788676,True,1.0,0.26509533078770725,0.49401646274505673,0.3581030349072515,0.7054663445170796
MLPH,,115562,567891,0.169085511366546,Basal-like Structured DCIS Cells,0.14088195291286176,Immune,Basal-like Structured DCIS Cells,0.1066696340824598,True,0.6490406876192876,0.3880000960655525,0.4033046240050366,0.2763599746547309,0.5873787713345442
HNRNPF,,114191,410013,0.2178369489740635,Basal-like Structured DCIS Cells,0.10249611707401365,Tumor,Basal-like Structured DCIS Cells,0.1083926760940862,True,1.0,0.2781304393077505,0.48780688244884446,0.3497325628385758,0.7008320390246712
UFC1,,114186,376078,0.2329071683827488,Basal-like Structured DCIS Cells,0.10542005861341748,Tumor,Basal-like Structured DCIS Cells,0.1321727268508116,True,1.0,0.270282247195933,0.4908027889218382,0.35147071065625674,0.7018066862044724
FRS2,,113239,396661,0.2220808001568935,CXCL14+ Fibroblasts,0.17152788584164497,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1113620721098959,False,-0.282546184601846,0.48644912459762457,0.2547873401324017,0.34377694621438476,0.8288163748658749
EID1,,112954,290989,0.2796285614554529,Macrophages,0.1165697334076675,Immune,Basal-like Structured DCIS Cells,0.0931429468712002,False,0.1579260028790722,0.39045327577687294,0.33377572066461964,0.26861873533646324,0.6265070042564119
DAP,,111558,326050,0.2549267837882306,Macrophages,0.14665099310954122,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1046930824449615,False,0.22606269092359826,0.4874364072623031,0.2408504832917074,0.33936661652429984,0.8291454690874344
SPTAN1,,110025,368957,0.2297059179676898,CXCL14+ Fibroblasts,0.1228082118688058,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1012695615292314,False,-0.2817354334769128,0.4893135096994681,0.22352353796428828,0.33935241217355416,0.8297711698998227
CCT2,,107108,387174,0.2166941138864049,Basal-like Structured DCIS Cells,0.13871295654064414,Immune,Basal-like Structured DCIS Cells,0.1014571153874694,True,0.6490406876192876,0.38809722157713006,0.4032300522989896,0.2756412842906136,0.5865988852296372
ANXA2,,105731,315148,0.2512147196700239,CXCL14+ Fibroblasts,0.1325421410925293,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1072514152079133,False,0.22606269092359826,0.4892958716787554,0.22958690742414847,0.3401324438333808,0.829765290559585
