cell_id,celltype,x,y
ikoaoejc-1,Basal-like Structured DCIS Cells,6033.0556640625,2354.0673828125
mpniljic-1,11q13 Invasive Tumor Cells,6228.505859375,5087.01953125
ebpmgnih-1,T Lymphocytes,3632.48876953125,3731.076171875
eebnonkg-1,Endothelial Cells,3697.601806640625,3659.727294921875
ocpbhndo-1,"CAFs, DCIS Associated",2854.6298828125,5780.9619140625
clndfeja-1,Luminal-like Amorphous DCIS Cells,1637.5654296875,2371.107421875
jnpcimac-1,Myoepithelial Cells,8565.095703125,1279.3787841796875
fgfmgill-1,Basal-like Structured DCIS Cells,5322.60791015625,3488.3291015625
anelfhlp-1,11q13 Invasive Tumor Cells,7814.1943359375,4189.0380859375
ljebibeg-1,Pericytes,7918.62841796875,3116.459228515625
lcaigipc-1,11q13 Invasive Tumor Cells,9456.642578125,786.3984985351562
nplbadpd-1,Mast Cells,6347.7451171875,3891.75927734375
ehedjnfb-1,Pericytes,5076.55322265625,865.9559326171875
cjcldgmd-1,Luminal-like Amorphous DCIS Cells,2747.867431640625,1634.85009765625
fjngdgbi-1,Myoepithelial Cells,3409.037353515625,1099.1197509765625
dnpppllo-1,11q13 Invasive Tumor Cells,4119.4306640625,2598.7255859375
ninbddlc-1,Basal-like Structured DCIS Cells,6810.05224609375,5014.103515625
fkcmofhb-1,"CAFs, DCIS Associated",4155.56591796875,1171.4432373046875
hkebkced-1,Plasma Cells,3383.774169921875,5421.31494140625
nalfanba-1,CXCL14+ Fibroblasts,7112.501953125,3585.6513671875
mpbgchjl-1,Dendritic Cells,7044.30517578125,5502.68359375
efeabiek-1,11q13 Invasive Tumor Cells,3808.919189453125,4252.60009765625
klcpeebp-1,11q13 Invasive Tumor Cells,8243.8212890625,2550.97412109375
jideipfd-1,11q13 Invasive Tumor Cells,6200.21630859375,1326.75048828125
hpfnokcf-1,"CAFs, DCIS Associated",1567.3780517578125,3946.384521484375
nalebcjf-1,11q13 Invasive Tumor Cells,6857.875,3561.224609375
odmjohln-1,Basal-like Structured DCIS Cells,5902.23193359375,2686.095947265625
fkcbhndo-1,Luminal-like Amorphous DCIS Cells,4189.666015625,1076.0921630859375
igkfbeem-1,"CAFs, DCIS Associated",251.10302734375,3257.01806640625
ekmdbppd-1,Macrophages,5151.3134765625,2183.091552734375
ldnbdakp-1,Basal-like Structured DCIS Cells,9150.0029296875,941.1138916015624
gpflokpb-1,11q13 Invasive Tumor Cells,5182.8994140625,4904.31298828125
mnmgnana-1,11q13 Invasive Tumor Cells,6079.05078125,5546.62939453125
chndkdkd-1,Luminal-like Amorphous DCIS Cells,760.1253051757812,2583.046630859375
bichfonf-1,11q13 Invasive Tumor Cells,7029.01513671875,2576.38330078125
iljkmaci-1,11q13 Invasive Tumor Cells,6070.12890625,1781.9547119140625
dbmcdefp-1,Myoepithelial Cells,1402.384033203125,2363.511962890625
eanpdgjc-1,11q13 Invasive Tumor Cells,3177.063232421875,3701.407958984375
accengjk-1,Pericytes,1071.207763671875,2534.82861328125
lhklkmlh-1,CXCL14+ Fibroblasts,7960.07470703125,3623.312255859375
oihgebao-1,CXCL14+ Fibroblasts,591.5222778320312,4274.73486328125
nmfklpnj-1,Basal-like Structured DCIS Cells,6721.560546875,4066.32373046875
emdgocon-1,11q13 Invasive Tumor Cells,5251.61279296875,1215.973876953125
kfkpokna-1,11q13 Invasive Tumor Cells,9781.8447265625,2306.242919921875
kncnnpji-1,"CAFs, DCIS Associated",8110.8466796875,2116.883544921875
