example_gene,point_type,celltype,target_celltype,x,y,center_x,center_y
CCND1,uRNA,,11q13 Invasive Tumor Cells,9357.046875,2317.03125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9145.0,2873.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9369.296875,2315.0625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9011.890625,3059.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9714.828125,2797.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9528.625,2633.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9028.796875,2870.5,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9833.140625,2805.921875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9172.1875,2918.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9542.21875,2362.734375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9215.5625,3033.296875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9663.8125,3028.1875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9115.875,3035.671875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9299.71875,3015.234375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9362.078125,2456.28125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9513.390625,3017.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9823.125,3061.09375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9035.3125,2971.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9504.453125,2721.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9194.515625,2943.875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9010.6875,2982.953125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9130.09375,3116.78125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9600.78125,2945.25,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9663.46875,2368.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9478.578125,2334.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9181.21875,2967.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9131.03125,2899.171875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9706.484375,2629.734375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9775.796875,2414.84375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9128.84375,3090.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9222.5,2317.234375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9566.65625,2317.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9218.953125,2927.671875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9766.171875,2913.734375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9228.53125,3065.65625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9707.171875,2632.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9847.578125,2913.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9656.265625,2558.0625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9313.3125,3088.890625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9186.234375,2983.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9241.859375,2979.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9061.4375,2978.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9629.953125,2903.953125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9375.359375,2319.75,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9105.296875,3097.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9032.46875,2885.984375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9313.78125,3057.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9528.90625,2310.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9613.859375,2910.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9607.265625,2578.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9698.609375,2805.296875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9084.015625,2811.890625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9759.828125,2412.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9056.953125,3068.359375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9123.4375,3096.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9159.890625,2962.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9534.375,2947.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9802.140625,2803.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9222.703125,2902.71875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9120.453125,2997.203125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9493.4375,3120.03125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9465.171875,2343.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9723.421875,2592.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9664.25,2840.90625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9095.234375,2878.875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9594.28125,2763.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9657.125,3090.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9669.0,3043.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9097.109375,2896.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9088.046875,2991.6875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9154.671875,2951.203125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9211.8125,2908.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9082.984375,3037.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9525.8125,2394.921875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9610.375,2444.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9007.921875,3011.015625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9731.015625,2430.3125,9430.09375,2704.296875
