gene,unassigned_count,unassigned_fraction,urna_best_cluster,full_best_cluster,best_cluster_match,sss_spearman_vs_full
HSPB1,37810,0.2780024410687763,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2860012675430585
BCL2,35687,0.1451109873174778,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
FRS2,113239,0.2220808001568935,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
FIS1,36019,0.2113381798125949,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
TM9SF2,43628,0.19174614336571,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
AKR1A1,53022,0.2088080432565265,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
LRRC59,46148,0.2130376375110216,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
COG1,43188,0.1709488317229859,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
AKT1,55667,0.1895388785040364,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
ANXA5,188275,0.2601565015289506,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
GNS,219589,0.2002336175893437,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
CCNG2,58599,0.2024606646074752,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
DDX5,60628,0.1717706589150581,Macrophages,Basal-like Structured DCIS Cells,False,-0.282546184601846
RAB18,59876,0.2225939804901261,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
PERP,56868,0.1964657718816396,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
DHCR24,77917,0.1864480189135252,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.282546184601846
SMARCA5,38896,0.2065190266590917,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
PRPF38B,38358,0.1503427570285768,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
SCARB2,86120,0.2170816980366356,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
CDKN1B,84341,0.2110419101143276,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2817354334769128
UBA1,48110,0.1831638499815351,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2817354334769128
PLEC,47294,0.1897665535145372,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
ARF1,84321,0.2335127860026918,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
DYNLL2,80960,0.2570362727200571,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2817354334769128
TMEM14C,43183,0.2415588919717175,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
PPP3R1,37231,0.2440624856601572,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
SNX1,36889,0.2261325323361736,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
ERGIC3,36518,0.2248866883436791,Macrophages,Basal-like Structured DCIS Cells,False,-0.2817354334769128
SPTAN1,110025,0.2297059179676898,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2817354334769128
GOSR2,34848,0.1494730611352026,CXCL14+ Fibroblasts,Basal-like Structured DCIS Cells,False,-0.2817354334769128
