metric,value
total_parquet_rows,740442119.0
gene_rows,738289569.0
qv_ge_20_gene_rows,624095990.0
qv_ge_20_unassigned_gene_rows,122716153.0
unassigned_fraction_of_qv_gene_rows,0.1966302539453907
genes_in_panel,18028.0
genes_with_qv_ge_20_uRNA,18023.0
genes_with_qv_ge_20_uRNA_fraction,0.999722653649878
genes_analyzed_by_urna_only_COSTE,530.0
median_spearman_vs_full,0.6490406876192876
mean_spearman_vs_full,0.5549091592160567
q25_spearman_vs_full,0.2260626909235982
q75_spearman_vs_full,0.9980952376629068
best_cluster_exact_match_rate,0.5018867924528302
genes_spearman_lt_0_5,212.0
median_gene_uRNA_fraction_all_panel_genes,0.16027818297674484
median_gene_uRNA_fraction_analyzed_genes,0.22556026453099381
