gene,assigned_count,unassigned_count,total_qv_gene_count,unassigned_fraction
CCND1,2725339,703247,3428586,0.2051128366037777
NHERF1,1936095,548394,2484489,0.2207270790895029
XBP1,1190370,297758,1488128,0.2000889708412179
OR4F17,2046458,266079,2312537,0.1150593482396173
TBC1D9,1180759,262493,1443252,0.1818760687669235
GNAS,645711,244109,889820,0.2743352588163898
DSP,823025,227650,1050675,0.2166702358007947
TFF1,806795,223433,1030228,0.2168772349421681
GNS,877075,219589,1096664,0.2002336175893437
MYH9,493292,196002,689294,0.2843518150455393
PTMA,471483,189890,661373,0.2871148353500974
ANXA5,535424,188275,723699,0.2601565015289506
MDM2,764805,178705,943510,0.1894044578223866
STARD10,704455,177743,882198,0.2014774461062029
NPM1,435541,176649,612190,0.2885525735474281
GATA3,808018,176476,984494,0.1792555363465902
RASSF3,724079,171812,895891,0.191777794396863
B2M,444871,167278,612149,0.273263535511779
CLTC,601524,166623,768147,0.2169155122652304
TMSB4X,303453,160781,464234,0.3463361149764989
PRPF19,668103,159541,827644,0.1927652468935919
STC2,765112,156501,921613,0.1698120577726225
CXCL12,138679,149425,288104,0.5186495154527532
FOXA1,568219,148561,716780,0.2072616423449315
SMIM14,496328,146601,642929,0.2280205123738391
ELAPOR1,756196,142104,898300,0.1581921407102304
PLAT,689329,141278,830607,0.1700900666620917
FTH1,319416,136127,455543,0.2988236017236572
RAB7A,368776,133342,502118,0.2655590916876112
MARCKS,305442,129135,434577,0.2971510227186436
MAGED2,459510,126640,586150,0.2160539111149023
PRKAR1A,370996,125685,496681,0.253049744202013
TFF3,503755,121339,625094,0.1941132053739117
MLPH,567891,115562,683453,0.169085511366546
HNRNPF,410013,114191,524204,0.2178369489740635
UFC1,376078,114186,490264,0.2329071683827488
FRS2,396661,113239,509900,0.2220808001568935
EID1,290989,112954,403943,0.2796285614554529
DAP,326050,111558,437608,0.2549267837882306
SPTAN1,368957,110025,478982,0.2297059179676898
CCT2,387174,107108,494282,0.2166941138864049
ANXA2,315148,105731,420879,0.2512147196700239
ECE1,520011,105380,625391,0.1685025847829598
SPTBN1,265402,104197,369599,0.2819190528112901
TNFSF10,482942,101300,584242,0.1733870553640443
APP,305856,100648,406504,0.2475941196150591
ZNF91,327737,99675,427412,0.2332058996939721
SRP9,314374,99420,413794,0.2402644794269612
TPT1,164070,99084,263154,0.3765247725666339
CSDE1,240220,96461,336681,0.2865056240179873
